#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,BRYCE JONES,IGO,30,28.3,18.5,5.9,12.8,0.457,1.7,4.9,0.342,5.1,5.4,0.951,0.6,3.0,3.6,5.9,1.6,0.1,2.7,2.5,6,0.609,0.522,175.0,2.9,13.9,8.6,37.9,14.9,3.0,0.4,30.4,4.3,1.4,121.2,112.5,8.6,400.3,25.2,848.8,PG,14,3,0,0,0,0,1,0,35,0,0.384,2.2,0.6,0.4,19,11,0.633,3.2,1.1,4.3,BC IGOEKA
2,CAT BARBER,CIB,4,31.5,17.5,6.3,15.0,0.417,3.5,8.8,0.4,1.5,2.5,0.6,0.3,1.8,2.0,5.3,0.8,0.0,2.3,2.8,56,0.543,0.533,141.7,1.2,7.9,4.6,34.1,12.3,1.3,0.0,30.7,4.0,1.2,105.5,125.1,-19.6,37.0,16.9,126.2,G,173,0,0,0,0,0,0,0,20,0,0.418,2.3,0.3,0.2,1,3,0.25,0.2,-0.1,0.0,KK CIBONA
3,MATIC REBEC,FMP,13,27.9,17.1,4.8,11.1,0.438,2.2,5.5,0.389,5.2,6.4,0.819,0.4,2.4,2.8,3.8,1.1,0.1,2.1,2.5,17,0.615,0.535,164.6,1.7,11.4,6.4,29.0,13.0,2.1,0.3,27.3,1.6,1.5,121.7,113.1,8.6,132.1,21.4,363.2,PG,111,0,0,0,0,0,0,0,26,0,0.327,1.8,0.5,0.6,7,6,0.538,1.2,0.4,1.6,FMP BEOGRAD
4,VLADIMIR MIHAILOVIC,ZAD,27,30.1,16.3,4.9,12.5,0.391,2.2,6.6,0.335,4.3,4.9,0.879,0.3,2.5,2.8,2.4,0.6,0.0,2.3,3.1,110,0.555,0.479,160.5,1.4,11.0,6.1,15.7,13.5,1.1,0.0,27.7,-2.3,1.3,109.2,111.5,-2.3,174.8,14.1,811.5,G,155,0,0,0,0,0,0,0,34,0,0.267,1.1,0.3,0.4,13,14,0.481,0.8,1.1,1.9,KK ZADAR
5,ERICK NEAL,STU,30,30.4,16.1,5.0,11.5,0.439,1.8,5.0,0.358,4.3,5.1,0.837,0.8,2.0,2.7,5.9,1.4,0.1,3.2,2.6,34,0.588,0.517,163.3,3.1,8.4,5.7,34.0,18.9,2.5,0.4,26.0,2.4,1.4,114.9,117.1,-2.2,325.4,19.2,911.6,G,6,4,0,0,0,0,0,0,34,0,0.366,1.9,0.4,0.4,11,19,0.367,1.9,0.6,2.5,STUDENSKI CENTAR PODGORICA
6,SHANNON SHORTER,SPL,30,33.0,15.9,5.8,12.6,0.462,1.4,4.1,0.331,2.9,3.4,0.845,1.1,5.3,6.4,3.3,1.0,0.3,1.8,2.2,37,0.564,0.516,163.7,4.3,22.1,12.7,19.7,11.2,1.8,1.2,23.9,1.4,1.3,113.4,115.3,-1.9,361.9,18.8,991.1,G,11,3,0,0,0,0,0,0,24,0,0.33,1.9,0.6,0.3,9,21,0.3,1.6,0.9,2.4,KK SPLIT
7,LUKA BOGAVAC,STU,29,29.7,14.9,5.2,11.6,0.451,2.1,5.3,0.399,2.3,2.7,0.87,0.6,3.0,3.6,2.3,1.0,0.1,1.9,2.2,75,0.582,0.542,172.0,2.6,13.0,7.7,13.6,12.9,1.7,0.5,23.1,-1.2,1.3,113.1,117.9,-4.8,244.9,16.0,862.4,PG,131,0,0,0,0,0,0,0,27,0,0.25,1.2,0.5,0.2,11,18,0.379,1.2,0.5,1.7,STUDENSKI CENTAR PODGORICA
8,KOSTA KONDIC,MEG,21,25.4,14.6,4.3,11.0,0.394,2.3,6.2,0.366,3.7,4.3,0.846,0.5,2.4,2.9,2.1,1.0,0.0,1.9,3.0,69,0.566,0.498,160.7,2.5,11.0,7.0,15.6,12.6,2.2,0.0,27.9,-1.7,1.3,108.8,111.8,-3.0,142.6,16.1,533.2,PG,176,0,0,0,0,0,0,0,25,0,0.226,1.2,0.5,0.4,10,11,0.476,0.5,0.7,1.2,KK MEGA BEMAX
9,TAYLER PERSONS,KRK,30,30.2,14.5,5.2,11.1,0.467,1.1,2.8,0.386,3.0,3.4,0.874,0.5,3.3,3.8,7.9,0.6,0.0,3.5,2.5,46,0.572,0.515,172.6,2.0,14.6,8.2,48.3,21.8,1.1,0.0,26.5,5.9,1.3,111.1,120.4,-9.3,345.1,17.8,905.2,G,2,7,0,0,0,0,0,0,29,0,0.449,2.2,0.2,0.3,5,25,0.167,1.3,0.2,1.5,KRKA NOVO MESTO
10,DEVIN ROBINSON,COL,33,26.3,14.4,5.7,11.6,0.495,0.5,2.3,0.224,2.5,3.2,0.779,1.0,4.5,5.6,2.0,0.8,0.4,2.0,2.2,40,0.556,0.517,149.7,5.2,22.7,13.9,14.6,13.5,1.7,1.8,27.2,-2.7,1.2,107.4,107.2,0.2,299.0,18.4,868.9,F,19,2,0,0,0,0,0,0,25,0,0.261,1.0,0.4,0.3,20,13,0.606,0.6,1.8,2.3,KK CEDEVITA OLIMPIJA LJUBLJANA
