#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,T.J. SHORTS II,PAR,36,24.2,18.3,6.3,11.8,0.533,1.1,3.0,0.376,4.6,5.5,0.839,0.3,2.1,2.4,8.0,0.9,0.1,1.7,2.1,1,0.645,0.581,174.8,1.7,10.6,6.2,58.9,10.8,1.9,0.4,29.8,14.4,1.6,142.6,114.8,27.8,555.9,32.6,870.6,G,1,9,0,0,0,0,0,0,34,0,0.433,4.6,0.5,0.5,27,9,0.75,7.4,0.9,8.3,PARIS BASKETBALL
2,NADIR HIFI,PAR,40,23.1,17.8,5.6,13.0,0.43,2.9,7.6,0.374,3.8,4.3,0.882,0.6,1.9,2.5,2.6,0.9,0.1,1.9,2.5,4,0.598,0.539,168.6,3.5,10.2,6.9,19.6,11.0,2.1,0.4,32.8,-0.5,1.4,123.0,114.2,8.8,359.8,23.1,925.0,G,46,1,0,0,0,0,0,0,29,0,0.25,1.4,0.5,0.3,30,10,0.75,3.6,1.0,4.7,PARIS BASKETBALL
3,XAVIER CASTANEDA,JLB,19,26.0,17.1,4.4,10.0,0.437,2.1,4.7,0.444,6.3,8.0,0.783,0.4,1.8,2.2,3.5,0.8,0.0,2.3,2.2,14,0.633,0.542,166.4,2.1,8.9,5.6,24.5,14.3,1.7,0.0,28.3,0.3,1.7,122.5,113.2,9.3,178.5,20.5,494.2,PG,107,0,0,0,0,0,0,0,30,0,0.272,1.6,0.4,0.8,13,6,0.684,1.8,0.6,2.3,JL BOURG-EN-BRESSE
4,GLYNN WATSON,GRV,30,31.3,16.3,5.7,12.4,0.458,1.8,4.8,0.375,3.1,3.6,0.86,0.5,3.4,4.0,4.0,1.0,0.1,2.2,3.0,50,0.581,0.531,169.3,2.2,14.0,8.1,26.9,13.6,1.8,0.2,25.3,1.6,1.3,113.0,114.0,-1.0,303.9,17.5,939.2,PG,48,1,0,1,0,0,0,0,48,0,0.362,1.8,0.5,0.3,12,18,0.4,1.5,1.0,2.5,BCM GRAVELINES
5,NICOLAS LANG,CSP,30,31.8,16.0,5.1,11.1,0.459,2.7,6.2,0.435,3.1,3.5,0.877,0.3,2.2,2.5,3.5,0.4,0.0,1.3,2.2,60,0.632,0.581,177.2,1.0,9.4,5.0,21.1,9.3,0.6,0.1,21.2,3.3,1.4,124.6,119.5,5.1,294.3,16.6,954.5,SG,108,0,0,0,0,0,0,0,24,0,0.306,2.7,0.3,0.3,10,20,0.333,2.7,0.3,3.1,CSP LIMOGES
6,JEREMIAH HILL,CHA,34,28.8,16.0,5.5,11.9,0.461,2.0,5.6,0.359,3.0,3.6,0.828,1.0,2.8,3.8,5.7,1.4,0.1,2.3,2.6,10,0.592,0.546,164.8,4.7,12.1,8.5,35.3,14.5,2.6,0.3,25.9,5.2,1.3,120.8,114.3,6.5,421.8,21.1,980.0,G,37,1,0,0,0,0,0,0,32,0,0.368,2.5,0.6,0.3,17,17,0.5,3.0,1.1,4.1,CHALON-SUR-SAONE
7,TREVOR HUDGINS,LEM,30,25.4,15.6,5.0,11.0,0.452,3.2,7.6,0.419,2.5,2.6,0.962,0.3,1.5,1.8,2.8,0.5,0.0,1.1,2.1,15,0.644,0.597,183.2,1.7,7.6,4.6,19.2,8.3,1.1,0.1,23.8,3.0,1.4,134.7,117.6,17.1,270.3,20.4,762.0,G,101,0,0,0,0,0,0,0,28,0,0.252,2.5,0.5,0.2,16,14,0.533,3.5,0.5,4.0,LE MANS SARTHE BASKET
8,THEO MALEDON,LYV,36,25.3,15.6,4.3,9.6,0.447,1.8,4.3,0.419,5.2,6.1,0.846,0.5,3.4,3.9,4.3,0.6,0.1,2.2,2.3,7,0.633,0.54,171.2,2.5,17.1,10.1,29.7,14.9,1.3,0.6,27.0,2.6,1.6,125.4,112.2,13.2,388.1,21.8,912.0,PG,51,1,0,0,0,0,0,0,27,0,0.288,2.0,0.3,0.6,25,11,0.694,3.6,1.3,4.9,ASVEL BASKET
9,JEROME ROBINSON,SQB,32,25.2,15.3,4.7,11.1,0.421,2.3,6.1,0.378,3.7,4.3,0.849,0.6,2.6,3.2,2.3,0.8,0.3,2.3,3.0,48,0.59,0.525,164.7,2.8,14.1,8.2,18.1,15.1,1.9,1.3,29.0,-3.3,1.4,113.3,112.3,1.0,237.6,17.6,806.9,SG,41,1,0,0,0,0,0,0,28,0,0.253,1.0,0.4,0.4,14,18,0.438,1.4,1.1,2.5,SAINT-QUENTIN BASKETBALL
10,SHEVON THOMPSON,NAN,31,28.3,15.3,6.0,9.1,0.665,0.2,0.4,0.5,3.0,3.9,0.777,2.8,4.5,7.3,0.8,0.7,0.8,2.1,2.7,5,0.709,0.676,194.2,12.4,19.3,16.0,5.3,16.1,1.3,3.1,21.4,-5.2,1.7,126.2,115.9,10.3,376.6,22.5,876.0,C,3,6,0,0,0,0,0,0,28,0,0.222,0.4,0.3,0.4,14,17,0.452,2.8,0.7,3.5,NANCY BASKET
