#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,JORDAN WALKER,PROM,17,28.8,20.1,5.5,12.6,0.433,3.4,8.5,0.393,5.8,6.3,0.916,0.2,1.6,1.8,5.5,1.0,0.0,3.4,2.3,12,0.651,0.565,174.2,0.8,7.2,3.9,38.9,18.1,1.9,0.0,31.5,0.8,1.6,118.5,114.4,4.1,195.4,21.2,490.4,G,23,1,0,0,0,0,0,0,36,0,0.401,1.6,0.3,0.5,10,7,0.588,1.8,0.4,2.2,ASP PROMITHEAS PATRAS
2,SASHA VEZENKOV,OLY,27,25.5,18.4,6.7,10.6,0.639,1.4,3.5,0.394,3.5,4.3,0.826,1.3,4.9,6.1,2.0,0.9,0.2,1.0,1.1,2,0.739,0.704,185.8,7.1,23.2,15.7,14.4,7.2,2.0,1.0,25.4,1.4,1.7,145.3,101.9,43.4,414.9,30.1,689.3,PF,9,3,0,0,0,0,0,0,30,0,0.272,2.0,1.0,0.4,24,3,0.889,4.7,1.8,6.5,OLYMPIACOS
3,ANDREW GOUDELOCK,KOL,26,28.5,17.7,6.3,12.7,0.492,2.8,6.0,0.471,2.3,2.5,0.909,0.3,1.7,2.1,2.2,0.9,0.0,1.5,1.6,17,0.637,0.603,187.3,1.5,7.8,4.5,14.9,10.0,1.7,0.0,25.7,-0.4,1.4,125.5,118.1,7.4,247.3,20.0,741.6,G,152,0,0,0,0,0,0,0,37,0,0.29,1.4,0.6,0.2,9,17,0.346,2.9,0.2,3.1,KOLOSSOS RODOU BC
4,FILIP PETRUSEV,OLY,1,20.5,16.0,6.0,10.0,0.6,0.0,2.0,0.0,4.0,5.0,0.8,2.0,3.0,5.0,3.0,0.0,2.0,1.0,0.0,1,0.656,0.6,140.0,11.4,14.0,12.8,30.0,7.6,0.0,8.9,29.0,4.7,1.6,132.2,95.2,37.0,14.9,34.5,20.5,FC,115,0,0,0,0,0,0,0,16,0,0.281,3.0,0.0,0.5,1,0,1.0,0.2,0.1,0.2,OLYMPIACOS
5,VASILIS TOLIOPOULOS,ARI,24,27.4,15.3,5.0,12.8,0.392,2.6,8.0,0.325,2.8,3.8,0.733,0.3,1.9,2.2,3.6,0.9,0.0,2.4,2.2,76,0.532,0.493,145.0,1.4,8.2,4.8,26.1,14.2,1.7,0.0,28.5,0.1,1.2,105.3,111.1,-5.8,171.5,13.9,657.4,G,39,0,0,0,0,0,0,0,35,0,0.308,1.5,0.4,0.3,12,12,0.5,0.4,0.8,1.2,ARIS MIDEA THESSALONIKI
6,NATE WATSON,KARD,14,25.1,14.9,6.4,9.4,0.674,0.0,0.0,0.0,2.2,4.6,0.477,2.9,4.2,7.1,0.4,0.1,1.2,1.2,3.4,6,0.651,0.674,115.1,14.0,20.9,17.4,3.3,9.6,0.3,5.6,24.3,-4.0,1.6,123.0,109.3,13.8,152.9,24.1,351.6,C,22,1,0,0,0,0,0,0,22,0,0.246,0.3,0.1,0.5,7,7,0.5,1.2,0.5,1.7,AS KARDITSAS
7,FRANK BARTLEY IV,PAOK,27,30.8,14.9,4.9,11.3,0.43,2.1,5.6,0.368,3.1,4.0,0.778,1.3,3.1,4.5,3.5,1.4,0.1,2.6,1.7,45,0.57,0.521,157.6,5.1,12.8,8.9,21.5,16.8,2.5,0.4,24.0,-1.0,1.3,110.5,111.2,-0.7,273.0,16.0,830.9,,26,1,0,0,0,0,2,0,25,0,0.302,1.3,0.5,0.4,12,15,0.444,1.1,1.0,2.2,PAOK BC
8,CAM REYNOLDS,MAR,25,30.8,14.8,5.5,12.1,0.454,2.4,6.1,0.399,1.4,1.6,0.878,0.6,2.7,3.3,0.8,0.8,0.1,1.0,2.0,80,0.58,0.555,173.0,2.4,10.6,6.5,5.3,7.0,1.4,0.3,21.1,-1.3,1.2,113.7,117.1,-3.4,189.6,13.6,770.6,F,97,0,0,0,0,0,0,0,28,0,0.226,0.9,0.8,0.1,9,16,0.36,1.2,0.3,1.5,MAROUSSI BC
9,LONDON PERRANTES,KOL,22,28.0,14.7,4.9,11.1,0.437,2.3,5.5,0.425,2.7,3.6,0.747,0.6,2.3,2.9,5.1,0.9,0.0,2.1,1.6,22,0.579,0.541,160.9,2.5,10.5,6.3,34.3,14.1,1.7,0.2,25.1,4.7,1.3,120.3,115.7,4.6,230.4,19.1,615.4,G,20,1,0,0,0,0,0,0,29,0,0.353,2.4,0.4,0.3,8,14,0.364,2.0,0.4,2.4,KOLOSSOS RODOU BC
10,MARCUS KEENE,MAR,17,26.7,14.7,4.6,12.2,0.375,2.2,6.8,0.322,3.4,4.1,0.826,0.3,1.5,1.8,4.2,0.8,0.0,2.4,2.6,74,0.524,0.464,152.3,1.3,7.0,4.1,31.2,14.7,1.7,0.0,29.4,1.5,1.2,103.9,122.4,-18.5,114.4,14.0,453.5,G,71,0,0,0,0,0,0,0,29,0,0.324,1.8,0.3,0.3,4,13,0.235,0.2,-0.2,0.0,MAROUSSI BC
