#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,NICO MANNION,VAR,3,31.0,26.3,7.7,15.7,0.489,1.7,7.3,0.227,9.3,10.0,0.933,0.3,3.3,3.7,5.7,0.7,0.0,4.3,2.3,1,0.656,0.543,165.0,1.3,12.3,6.9,34.6,17.8,1.1,0.0,35.4,-1.7,1.7,120.0,137.1,-17.2,43.5,26.6,93.0,PG,175,0,0,0,0,0,0,0,32,0,0.43,1.3,0.2,0.6,0,3,0.0,0.4,-0.2,0.2,OPENJOBMETIS VARESE
2,ROB GRAY,SCAF,21,29.1,21.1,7.6,15.4,0.491,1.5,4.0,0.369,4.5,5.1,0.88,0.7,2.2,3.0,1.8,1.0,0.1,2.5,2.0,13,0.598,0.539,173.9,3.0,10.1,6.4,13.4,12.3,1.8,0.5,33.0,-4.5,1.4,112.2,121.4,-9.3,197.8,21.1,612.0,PG,100,0,0,0,0,0,0,0,34,0,0.317,0.7,0.4,0.3,5,16,0.238,1.0,0.1,1.1,GIVOVA SCAFATI
3,JAYLEN HANDS,VAR,30,31.3,19.3,6.2,15.4,0.403,2.6,7.7,0.341,4.2,4.8,0.876,0.8,3.3,4.1,4.8,1.3,0.1,3.1,1.3,39,0.551,0.489,162.0,2.9,13.0,7.8,28.8,15.2,2.1,0.2,30.4,0.1,1.3,106.9,121.0,-14.1,344.6,17.7,940.0,G,35,1,0,1,0,0,0,0,42,0,0.373,1.5,0.4,0.3,10,20,0.333,0.4,0.3,0.7,OPENJOBMETIS VARESE
4,MICHAEL FORREST,PIS,29,32.5,17.0,6.0,13.9,0.435,2.9,7.1,0.415,2.0,2.5,0.792,0.1,2.3,2.4,3.3,0.9,0.0,2.5,2.8,110,0.567,0.541,164.2,0.4,8.2,4.2,20.0,14.2,1.5,0.1,25.0,-0.8,1.2,105.9,118.9,-13.0,228.8,13.7,942.0,G,185,0,0,0,0,0,0,0,28,0,0.331,1.3,0.4,0.2,6,23,0.207,0.2,0.5,0.7,GEORGIO TESI GROUP PISTOIA
5,OSVALDAS OLISEVICIUS,TREV,25,30.2,16.9,5.8,12.6,0.462,2.2,5.2,0.412,3.0,3.4,0.894,1.2,3.0,4.2,2.2,0.8,0.1,2.8,2.0,62,0.597,0.547,176.8,4.9,12.3,8.6,13.6,16.7,1.5,0.4,25.8,-4.3,1.3,109.7,115.4,-5.7,224.6,16.1,755.0,GF,119,0,0,0,0,0,0,0,28,0,0.272,0.8,0.3,0.3,11,14,0.44,0.6,0.8,1.4,UNIVERSO DE'LONGHI TREVISO
6,JORDAN FORD,TREN,34,23.4,16.3,5.8,11.4,0.512,2.1,5.3,0.391,2.6,2.9,0.89,0.3,1.4,1.6,2.7,0.4,0.0,1.1,1.5,6,0.644,0.602,179.3,1.4,7.0,4.3,21.7,8.3,0.9,0.0,27.1,2.7,1.4,131.6,114.5,17.1,309.8,22.7,794.0,PG,187,0,0,0,0,0,0,0,25,0,0.273,2.3,0.3,0.3,23,11,0.676,3.7,0.9,4.6,DOLOMITI ENERGIA TRENTO
7,KY BOWMAN,TREV,29,28.4,16.0,5.3,11.2,0.474,2.3,5.1,0.45,3.1,4.0,0.774,0.4,3.2,3.6,3.8,1.2,0.2,2.5,3.3,33,0.618,0.577,169.7,1.8,13.9,7.8,23.6,16.3,2.2,0.8,25.0,0.0,1.4,116.6,114.0,2.6,287.4,18.3,823.0,SG,122,0,0,0,0,0,0,0,31,0,0.301,1.5,0.5,0.4,12,17,0.414,1.7,1.0,2.7,UNIVERSO DE'LONGHI TREVISO
8,ERICK GREEN,NAP,20,28.5,16.0,5.8,11.4,0.511,1.9,5.1,0.366,2.5,3.1,0.82,0.4,2.9,3.3,2.3,0.9,0.1,0.8,2.2,24,0.628,0.593,169.7,1.5,12.7,7.0,14.6,5.9,1.6,0.2,22.3,2.5,1.4,126.6,118.2,8.4,202.4,19.4,570.0,G,70,0,0,0,0,0,0,0,25,0,0.266,2.9,1.1,0.3,8,12,0.4,1.8,0.4,2.1,NAPOLI BASKET
9,CASSIUS WINSTON,REG,32,25.2,15.9,4.8,12.2,0.395,1.4,4.8,0.29,4.9,6.0,0.822,0.5,2.2,2.8,5.1,1.1,0.0,2.9,3.4,29,0.538,0.453,150.7,2.5,10.4,6.5,38.4,16.4,2.3,0.1,33.1,2.0,1.3,109.6,110.1,-0.5,267.1,18.6,806.0,PG,15,3,0,0,0,0,0,0,30,0,0.343,1.8,0.4,0.5,17,15,0.531,0.9,1.4,2.3,GRISSIN BON REGGIO EMILIA
10,NIKOLA MIROTIC,MIL,31,23.5,15.9,5.0,10.6,0.471,1.9,5.1,0.373,4.0,4.5,0.906,1.1,3.3,4.4,1.5,0.7,0.5,1.5,2.1,2,0.634,0.561,175.0,6.4,18.4,12.5,11.9,10.4,1.8,2.2,29.4,-2.0,1.5,125.7,113.5,12.2,312.8,24.8,728.0,F,29,2,0,0,0,0,0,0,33,0,0.218,1.0,0.5,0.4,18,13,0.581,2.9,0.9,3.8,AX ARMANI EXCHANGE MILAN
