#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,JOSEPH GIRARD III,KED,35,28.1,21.0,6.2,13.4,0.461,3.6,8.6,0.415,5.1,5.6,0.908,0.4,2.4,2.8,3.0,0.9,0.0,2.3,2.3,9,0.661,0.594,178.4,1.6,10.9,6.2,20.1,12.9,1.6,0.1,28.9,-1.1,1.6,125.5,120.3,5.2,401.1,20.8,982.1,G,52,0,0,0,0,0,0,0,33,0,0.304,1.3,0.4,0.4,10,25,0.286,3.2,0.8,4.0,KEDAINIAI NEVEZIS
2,KAY BRUHNKE,MAZ,12,32.5,18.8,6.4,11.7,0.55,2.7,5.9,0.451,3.3,4.8,0.702,1.2,3.4,4.6,2.4,1.3,1.3,1.6,2.8,7,0.685,0.664,170.2,4.9,13.4,9.3,14.4,10.3,2.1,4.0,22.7,0.1,1.6,131.3,123.6,7.6,168.4,21.6,389.5,SG,111,0,0,0,0,0,0,0,28,0,0.305,1.5,0.8,0.4,2,10,0.167,1.3,0.1,1.5,MAZEIKIAI
3,A.J. ENGLISH III,MAZ,8,32.4,18.8,6.4,13.3,0.481,4.0,8.3,0.485,2.0,2.8,0.727,0.0,1.8,1.8,4.0,0.9,0.5,2.9,2.1,46,0.648,0.632,169.3,0.0,6.7,3.5,25.6,16.6,1.5,1.5,26.3,-0.6,1.4,114.9,133.1,-18.1,84.3,16.2,258.8,G,131,0,0,0,0,0,0,0,33,0,0.376,1.4,0.3,0.2,1,7,0.125,0.3,-0.2,0.1,MAZEIKIAI
4,BRANDON CHILDRESS,JJ,33,27.2,18.1,5.1,11.3,0.45,2.4,5.7,0.428,5.5,6.8,0.808,0.2,1.6,1.8,3.5,1.8,0.0,2.4,2.9,11,0.633,0.558,168.6,0.7,7.8,4.2,22.0,14.2,3.4,0.1,27.9,-0.1,1.6,122.9,116.6,6.3,326.5,20.5,896.7,PG,40,1,0,0,0,0,1,0,32,0,0.276,1.5,0.7,0.6,17,16,0.515,2.5,1.2,3.7,JONAVA JONAVOS
5,GERRY BLAKES,SIA,34,28.1,17.8,7.1,13.4,0.53,1.5,3.9,0.391,2.0,2.4,0.85,0.6,2.9,3.5,3.8,1.3,0.1,2.9,3.1,28,0.614,0.586,177.1,2.7,13.9,8.3,24.1,16.9,2.4,0.6,28.1,-1.5,1.3,112.5,122.9,-10.4,350.3,18.0,955.4,G,43,1,0,0,0,0,0,0,30,0,0.333,1.3,0.5,0.2,13,21,0.382,0.8,0.4,1.3,SIAULIAI
6,CHAUNCEY COLLINS,MAZ,16,29.4,16.7,4.8,10.4,0.455,3.1,7.7,0.407,4.1,5.3,0.774,0.3,2.3,2.6,3.6,0.9,0.0,2.2,2.3,34,0.655,0.605,163.5,1.4,10.5,5.8,22.0,14.6,1.6,0.0,24.4,0.6,1.6,122.1,131.1,-9.0,160.3,17.5,470.5,G,133,0,0,0,0,0,0,0,34,0,0.29,1.6,0.4,0.5,3,13,0.188,1.1,-0.3,0.8,MAZEIKIAI
7,ANTHONY COWAN,WOLV,35,27.4,16.4,4.1,9.4,0.438,1.7,5.2,0.319,6.5,7.5,0.867,0.1,1.7,1.8,5.9,0.8,0.1,2.2,2.5,12,0.646,0.526,162.4,0.7,7.9,4.4,36.5,14.6,1.6,0.2,25.8,6.4,1.7,132.6,125.0,7.6,393.3,20.3,960.0,PG,14,2,0,0,0,0,1,0,37,0,0.339,2.7,0.4,0.8,17,18,0.486,4.2,0.2,4.4,WOLVES TWINSBET VILNIUS
8,AMIT ABO,KED,26,28.6,16.4,5.6,13.3,0.423,3.0,7.8,0.377,2.2,2.4,0.905,0.5,3.0,3.5,8.5,1.0,0.0,4.4,2.3,43,0.571,0.535,170.5,2.4,13.4,7.8,51.6,23.4,1.9,0.1,29.7,4.5,1.2,110.9,118.1,-7.1,321.1,16.9,743.8,G,2,8,0,0,0,0,0,0,27,0,0.457,1.9,0.2,0.2,9,17,0.346,0.6,0.8,1.4,KEDAINIAI NEVEZIS
9,ED CROSWELL,KED,25,25.6,16.2,6.4,8.8,0.719,0.0,0.1,0.0,3.5,5.4,0.652,3.0,3.6,6.6,1.3,1.0,1.1,2.0,3.6,5,0.724,0.719,137.1,14.5,16.9,15.7,9.2,15.4,1.9,4.2,22.7,-4.4,1.8,130.7,113.4,17.2,318.9,23.8,640.8,FC,3,5,0,0,0,0,1,0,32,0,0.242,0.6,0.5,0.6,10,15,0.4,2.2,1.1,3.3,KEDAINIAI NEVEZIS
10,DOMINIC GREEN,JUV,38,29.2,15.5,5.2,10.9,0.478,1.2,3.8,0.315,3.8,4.9,0.784,0.7,2.3,3.0,1.1,1.0,0.8,1.7,2.3,47,0.592,0.534,157.7,3.3,10.9,7.0,6.2,11.4,1.8,3.1,23.9,-3.4,1.4,114.7,117.8,-3.1,301.1,15.9,1109.8,SF,102,0,0,0,0,0,0,0,32,0,0.204,0.6,0.6,0.4,16,22,0.421,1.2,1.3,2.4,JUVENTUS
