#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,MARK HUGHES,BETIS,41,29.0,17.1,5.8,10.5,0.549,3.0,5.9,0.502,2.7,3.3,0.809,0.7,3.5,4.2,1.8,1.3,0.1,1.5,2.0,7,0.718,0.69,186.0,3.1,13.8,9.0,12.0,11.1,2.5,0.5,22.7,-1.1,1.6,134.0,105.4,28.6,493.0,24.3,1190.6,PG,34,1,0,0,0,0,0,0,33,0,0.262,1.2,0.9,0.3,31,10,0.756,5.7,2.3,8.0,REAL BETIS BALONCESTO
2,JALEN CONE,MEN,25,26.6,16.3,5.0,13.0,0.38,3.0,9.0,0.335,3.4,4.0,0.85,0.6,1.8,2.3,1.8,0.7,0.0,2.1,2.2,53,0.551,0.495,156.5,2.5,8.5,5.4,14.5,12.3,1.5,0.2,30.7,-3.5,1.3,108.7,112.9,-4.2,157.0,17.3,665.4,PG,31,1,0,0,0,0,0,0,30,0,0.259,0.8,0.3,0.3,8,17,0.32,1.0,0.6,1.6,HESTIA MENORCA
3,JAYSON GRANGER,EST,37,28.5,15.6,5.0,11.8,0.428,2.2,5.6,0.383,3.4,4.2,0.818,0.5,2.5,3.1,6.5,1.0,0.1,2.4,1.4,15,0.575,0.52,162.9,2.6,11.1,7.0,39.5,15.2,1.9,0.2,26.9,6.8,1.3,122.3,112.5,9.8,448.0,22.3,1054.1,PG,5,4,0,0,0,0,0,0,28,0,0.379,2.7,0.4,0.4,28,9,0.757,4.3,1.0,5.4,MOVISTAR ESTUDIANTES
4,KEVIN LARSEN,LUC,33,28.4,15.5,5.7,12.2,0.466,0.9,2.6,0.333,3.3,4.0,0.812,2.4,4.7,7.0,3.6,1.0,0.3,0.9,1.5,3,0.556,0.502,161.2,10.0,21.3,15.4,27.5,6.1,2.0,1.2,25.4,5.4,1.3,125.3,107.9,17.4,462.9,25.6,936.7,FC,3,6,0,0,0,0,0,0,24,0,0.347,4.0,1.1,0.3,12,21,0.364,4.1,1.5,5.5,HLA ALICANTE
5,LIONEL KOUADIO,MORO,26,29.0,15.3,5.7,11.2,0.503,0.9,3.0,0.295,3.1,4.6,0.667,2.2,3.6,5.8,1.3,1.4,0.3,2.7,3.0,33,0.576,0.543,146.5,9.2,15.6,12.3,9.1,17.1,2.7,1.4,26.0,-6.6,1.4,106.5,111.9,-5.4,229.8,19.0,754.7,SG,16,2,0,0,0,0,1,0,29,0,0.256,0.5,0.5,0.4,3,23,0.115,0.7,0.8,1.5,CB STARLABS MORON
6,JALEN TATE,CAS,28,27.6,15.2,5.6,10.8,0.523,1.0,2.6,0.37,3.0,4.9,0.601,0.9,3.0,4.0,2.9,1.4,0.3,2.1,2.6,37,0.587,0.568,149.4,4.0,12.7,8.4,21.5,14.2,2.5,0.9,24.7,-0.6,1.4,110.9,112.5,-1.6,268.5,18.7,772.9,SF,52,0,0,0,0,0,2,0,27,0,0.303,1.4,0.6,0.5,7,21,0.25,1.3,0.7,2.0,AMICS CASTELLO
7,LANCE JONES,TIZ,32,21.9,15.1,5.0,13.0,0.381,1.8,6.2,0.281,3.4,4.3,0.784,0.5,1.6,2.1,2.0,1.0,0.1,2.4,1.8,76,0.505,0.448,144.7,2.7,9.1,5.8,16.9,13.9,2.4,0.3,35.2,-4.7,1.2,99.9,116.6,-16.7,164.1,15.8,699.6,G,110,0,0,0,0,0,0,0,31,0,0.227,0.8,0.4,0.3,11,21,0.344,-0.3,0.3,0.0,GRUPO URETA TIZONA BURGOS
8,DAISHON SMITH,GBC,15,26.8,15.1,5.0,11.7,0.426,2.5,6.7,0.376,2.5,3.5,0.731,0.7,2.5,3.2,3.5,0.8,0.1,2.6,2.1,51,0.568,0.534,153.3,3.1,11.5,7.4,25.7,16.4,1.6,0.3,28.0,-0.9,1.3,110.3,107.8,2.5,124.0,17.4,402.3,PG,184,0,0,0,0,0,0,0,32,0,0.298,1.4,0.3,0.3,9,6,0.6,0.7,0.7,1.3,GIPUZKOA BASKET
9,JOSIP VRANKIC,GBC,32,27.5,14.9,5.3,10.9,0.483,1.4,3.5,0.398,2.9,4.0,0.734,1.9,3.2,5.1,2.2,1.1,0.3,1.9,2.3,22,0.587,0.547,161.5,8.6,14.8,11.7,16.2,12.9,2.3,1.0,25.3,-1.5,1.4,116.9,106.7,10.2,321.0,21.1,878.5,PF,14,2,0,0,0,0,0,0,25,0,0.269,1.2,0.6,0.4,16,16,0.5,2.3,1.6,3.9,GIPUZKOA BASKET
10,JORDAN WALKER,AQU,34,24.8,14.7,5.0,11.8,0.424,2.0,5.4,0.37,2.7,3.1,0.85,0.4,2.2,2.6,2.2,1.1,0.0,2.1,2.5,48,0.557,0.509,164.4,2.3,10.1,6.4,17.5,14.0,2.5,0.1,29.4,-2.8,1.2,106.4,112.2,-5.8,227.6,17.4,844.5,PG,204,0,0,0,0,0,0,0,29,0,0.255,1.0,0.5,0.3,13,21,0.382,0.8,0.8,1.6,ZAMORA ENAMORA
