#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,JEREMIAH MARTIN,URAL,39,30.0,17.8,6.3,13.2,0.478,1.4,3.7,0.392,3.8,5.4,0.705,0.4,2.7,3.2,4.7,2.0,0.4,2.2,2.5,13,0.573,0.532,157.4,1.8,11.1,6.5,32.5,12.1,3.6,1.2,28.0,3.2,1.4,115.1,104.8,10.3,467.8,21.8,1169.6,PG,22,1,0,0,0,0,3,0,36,0,0.397,2.2,0.9,0.4,21,18,0.538,3.4,2.1,5.6,URALMASH
2,DWAYNE BACON,ZEN,58,26.9,17.6,5.9,13.9,0.422,1.6,4.9,0.322,4.3,5.2,0.833,0.6,3.2,3.9,2.2,0.7,0.2,2.0,2.7,23,0.545,0.48,157.7,3.0,14.7,9.0,15.6,10.9,1.5,0.8,32.2,-2.0,1.3,109.4,105.4,4.0,473.0,18.6,1562.1,SF,178,0,0,0,0,0,0,0,34,0,0.271,1.1,0.4,0.4,46,12,0.793,3.1,2.8,5.8,ZENIT SAINT PETERSBURG
3,ZACH NUTALL,NIZ,29,25.3,17.2,6.3,13.3,0.47,2.3,6.2,0.367,2.4,3.5,0.686,0.5,2.9,3.3,2.8,1.1,0.1,3.4,2.4,25,0.579,0.556,152.3,2.5,15.3,8.8,23.7,18.5,2.4,0.6,34.3,-5.9,1.3,102.1,111.4,-9.4,233.3,18.3,732.6,PG,117,0,0,0,0,0,0,0,31,0,0.314,0.8,0.3,0.3,11,18,0.379,0.5,0.5,1.0,NIZHNY NOVGOROD
4,MIKHAIL KULAGIN,SAM,18,26.8,16.6,5.3,12.4,0.429,3.2,7.9,0.399,2.7,2.8,0.98,0.4,2.7,3.1,2.1,0.5,0.1,1.8,1.4,24,0.606,0.556,180.7,1.9,13.1,7.1,17.9,11.8,1.0,0.2,27.8,-1.7,1.3,112.9,121.9,-9.0,156.8,18.4,482.7,SG,126,0,0,0,0,0,0,0,32,0,0.295,1.1,0.3,0.2,4,14,0.222,1.2,-0.3,0.8,SAMARA
5,T.J. STARKS,AST,13,27.5,16.2,6.1,15.5,0.391,1.2,4.0,0.308,2.8,4.3,0.661,0.6,2.5,3.2,4.2,0.5,0.1,2.8,1.5,77,0.465,0.431,135.9,2.8,12.5,7.5,39.3,14.0,1.1,0.3,37.6,-0.3,1.0,91.7,134.2,-42.6,86.8,14.3,356.9,G,124,0,0,0,0,0,0,0,30,0,0.418,1.5,0.2,0.3,1,12,0.077,-0.8,-0.9,-1.7,ASTANA TIGERS
6,MARCOS KNIGHT,UNI,49,26.3,16.2,6.2,12.5,0.499,1.1,2.7,0.418,2.6,3.2,0.804,0.8,3.4,4.2,3.9,1.5,0.1,2.1,2.3,9,0.582,0.545,172.1,3.9,16.4,10.1,27.4,13.1,3.1,0.6,28.3,1.9,1.3,117.6,99.5,18.0,551.3,22.5,1290.3,G,84,0,0,0,0,0,0,0,29,0,0.326,1.9,0.7,0.3,39,10,0.796,4.4,3.3,7.7,UNICS KAZAN
7,GARRETT NEVELS,PARM,45,29.0,15.8,6.0,13.9,0.434,2.0,5.0,0.389,1.8,1.9,0.941,0.9,2.9,3.8,3.6,1.4,0.4,2.4,2.1,29,0.536,0.504,176.4,3.8,12.5,8.2,24.7,14.0,2.6,1.3,28.0,0.1,1.1,104.9,112.5,-7.5,434.9,17.7,1305.0,SG,121,0,0,0,0,0,1,0,30,0,0.336,1.5,0.6,0.1,16,29,0.356,1.2,1.0,2.2,PARMA BASKET PERM
8,DEVAUGHN AKOON-PURCELL,UNI,49,24.9,15.6,5.0,12.4,0.403,1.8,5.5,0.323,3.9,4.3,0.892,0.9,2.1,3.0,3.1,1.1,0.3,1.8,2.4,19,0.546,0.474,161.8,4.6,10.8,7.7,21.5,11.4,2.5,1.3,30.1,1.0,1.3,115.7,102.9,12.8,424.8,19.8,1219.5,GF,24,1,0,0,0,0,1,0,31,0,0.259,1.7,0.6,0.3,38,11,0.776,3.9,2.6,6.5,UNICS KAZAN
9,PATRICK MILLER,LOK,53,26.8,15.5,5.1,10.9,0.464,0.7,1.7,0.407,4.7,6.1,0.766,1.3,2.1,3.4,5.9,1.5,0.0,2.6,2.4,15,0.57,0.496,163.7,5.7,9.6,7.7,39.0,16.2,2.8,0.1,27.0,4.5,1.4,115.9,104.3,11.6,605.4,21.2,1419.2,PG,7,3,0,0,0,0,2,0,30,0,0.363,2.2,0.6,0.6,36,17,0.679,4.5,2.7,7.2,LOKOMOTIV KUBAN
10,ROYCE HAMM JR.,PARM,46,30.4,15.5,5.9,11.2,0.529,0.6,1.9,0.303,3.1,4.4,0.704,1.5,6.7,8.2,1.0,0.7,0.7,1.8,2.1,21,0.592,0.555,153.7,6.1,27.1,16.7,6.7,12.0,1.2,2.4,23.4,-3.6,1.4,111.8,109.5,2.3,532.4,18.9,1400.6,,1,15,0,0,0,0,0,1,30,0,0.245,0.6,0.4,0.4,18,28,0.391,2.6,1.6,4.2,PARMA BASKET PERM
