#_prom,Player,Team_prom,GP,MIN_x,PTS,FGM_x,FGA_x,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST_x,STL,BLK,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN_y,Pos,Team_x,Team_completo,Team_y,FGM_y,AST_y,FGA_y,HOB,Ast/TO,Stl/TO,FT/FGA,Posesiones_equipo,Pace_del_equipo,Puntos_Producidos,Posesiones_Ofensivas,Ofensa_Marginal,Puntos_Marginales_por_Victoria,OWS
1,JERRICK HARDING,AND,30,26.6,27.0,9.1,18.7,0.486,2.8,7.5,0.371,6.0,6.8,0.882,1.0,2.0,3.0,2.4,1.5,0.2,2.5,3.4,11,AND,0.621,0.56,173.8,3.7,7.1,5.4,13.0,10.2,2.2,0.7,30.8,-2.3,1.4,123.9,122.4,1.6,286.0,22.4,799.4,PG,AND,MORABANC ANDORRA,MORABANC ANDORRA,1049,543,2203,0.0109628217349857,0.96,0.6,0.32085561497326204,1053.492,1584.1984962406013,28.2,24.092,2.400620995069591,7.757519223670849,0.30945730533860283
2,DZANAN MUSA,RMB,28,19.0,24.9,7.3,15.0,0.489,3.0,6.8,0.45,7.2,8.7,0.828,1.6,4.1,5.7,2.8,1.3,0.4,2.3,2.1,3,RMB,0.662,0.59,176.7,5.5,12.5,9.3,14.6,10.9,1.9,1.1,27.3,-1.1,1.7,131.1,107.9,23.2,239.5,24.6,531.3,SG,RMB,REAL MADRID,REAL MADRID,1046,595,2205,0.009655831739961759,1.2173913043478262,0.5652173913043479,0.48000000000000004,1050.528,2211.637894736842,26.299999999999997,21.628,3.139242523715968,10.829970818009333,0.2898662033784681
3,JEAN MONTERO,VAL,32,23.9,24.8,8.6,18.5,0.466,3.2,8.6,0.368,4.5,5.2,0.856,1.7,3.8,5.6,7.0,1.8,0.2,2.4,1.8,2,VAL,0.598,0.551,169.0,5.9,12.1,9.1,31.4,10.2,2.6,0.5,28.2,6.3,1.3,132.8,111.2,21.6,410.4,25.5,765.1,PG,VAL,VALENCIA BASKET,VALENCIA BASKET,1242,785,2576,0.012560386473429951,2.916666666666667,0.75,0.24324324324324326,1244.988,2083.661924686193,28.3,27.788,-1.4573112978999738,10.203296793136975,-0.14282749266689984
4,CALEB HOMESLEY,GCN,34,19.4,24.2,7.8,18.0,0.43,3.7,9.9,0.368,5.1,6.2,0.816,0.6,3.0,3.6,4.0,1.2,0.2,2.8,3.6,24,GCN,0.584,0.532,161.4,2.2,11.0,6.7,20.9,12.0,1.8,0.7,31.8,-0.4,1.3,114.8,118.4,-3.6,221.0,19.4,659.2,SG,GCN,DREAMLAND GRAN CANARIA,DREAMLAND GRAN CANARIA,1074,614,2233,0.010986964618249535,1.4285714285714286,0.4285714285714286,0.2833333333333333,1078.928,2224.5938144329903,26.2,24.728,-0.2804517696297175,10.893413496652009,-0.025745077033559022
5,DERRICK ALSTON JR.,MAN,34,25.4,23.9,7.9,17.7,0.445,3.0,9.3,0.318,5.2,6.3,0.816,1.7,4.3,6.0,2.5,1.3,0.3,3.0,2.7,38,MAN,0.582,0.528,157.9,5.4,15.5,10.2,13.4,12.8,1.9,0.9,28.5,-3.6,1.3,114.3,109.1,5.2,309.0,18.5,864.4,,MAN,BAXI MANRESA,BAXI MANRESA,1002,593,2262,0.010379241516966068,0.8333333333333334,0.43333333333333335,0.2937853107344633,1006.072,1584.3653543307087,25.15,22.971999999999998,0.5499944171815834,7.758336296054585,0.07089076783914057
6,CHIMEZIE METU,FCB,20,20.0,23.6,9.3,15.0,0.617,2.0,4.6,0.431,3.1,4.8,0.66,1.6,5.1,6.7,1.8,1.2,1.1,2.8,2.8,7,FCB,0.691,0.683,170.9,6.2,17.7,12.3,8.8,14.0,1.7,3.4,26.0,-4.4,1.6,122.9,112.8,10.1,177.1,23.5,400.4,PF,FCB,BARCA,BARCA,1151,637,2259,0.009643788010425718,0.6428571428571429,0.4285714285714286,0.20666666666666667,1154.3120000000001,2308.6240000000003,24.5,18.912000000000003,4.247723072337543,11.304893359466945,0.3757419851095202
7,MARKUS HOWARD,BASK,33,23.4,23.5,7.1,18.1,0.391,4.8,12.7,0.382,4.5,5.5,0.822,0.5,1.4,1.9,2.7,1.4,0.0,2.4,4.1,78,BASK,0.573,0.524,159.5,1.6,5.1,3.4,13.3,10.5,2.1,0.1,29.7,-1.7,1.3,113.8,121.1,-7.3,195.3,16.2,773.1,SG,BASK,BASKONIA,BASKONIA,1077,609,2244,0.009099350046425257,1.1250000000000002,0.5833333333333334,0.24861878453038672,1081.3200000000002,1848.4102564102568,24.85,23.220000000000002,-0.015581126286075886,9.051314043890605,-0.0017214214654934805
8,JILSON BANGO,ZAR,19,20.8,23.2,9.2,14.0,0.66,0.0,0.3,0.0,4.7,7.5,0.634,3.9,5.7,9.6,1.5,0.5,0.9,2.6,3.5,4,ZAR,0.672,0.66,129.4,13.7,20.1,16.9,7.4,13.3,0.8,2.9,24.3,-4.5,1.7,126.5,115.7,10.8,182.0,24.3,394.8,C,ZAR,CASADEMONT ZARAGOZA,CASADEMONT ZARAGOZA,1094,635,2299,0.009780621572212066,0.5769230769230769,0.1923076923076923,0.33571428571428574,1095.9999999999998,2107.692307692307,23.95,18.8,3.817660414548744,10.320969015755844,0.369893602889492
9,KILLIAN TILLIE,UNI,28,13.1,22.9,8.3,14.7,0.56,4.2,8.0,0.531,2.2,3.3,0.647,2.2,4.7,6.9,2.5,1.4,0.7,1.8,5.0,8,UNI,0.706,0.703,173.8,7.5,17.0,12.1,11.6,9.8,2.0,2.2,22.6,-0.4,1.6,131.8,107.8,24.0,168.3,22.8,366.2,C,UNI,UCAM MURCIA CB,UCAM MURCIA CB,992,575,2230,0.010887096774193548,1.3888888888888888,0.7777777777777777,0.14965986394557826,993.0519999999999,3032.219847328244,24.15,18.652,4.176149045327826,14.848204825257357,0.2812561582006222
10,MARCELINHO HUERTAS,TEN,34,24.1,22.5,8.4,16.5,0.509,1.5,3.9,0.382,4.2,4.6,0.914,0.8,2.3,3.2,10.5,0.7,0.0,4.6,2.5,10,TEN,0.608,0.555,180.6,3.4,8.9,6.3,55.7,19.8,1.1,0.1,32.3,7.3,1.4,120.3,122.0,-1.7,374.1,22.5,820.5,PG,TEN,LENOVO TENERIFE,LENOVO TENERIFE,1088,682,2154,0.017371323529411762,2.2826086956521743,0.15217391304347827,0.2545454545454546,1093.8239999999998,1815.4755186721989,27.75,29.024,-3.3309055387307076,8.890038886935312,-0.37467839917165763
